startup,sector,city,round,amount_usd,year
Shopmint,Cleantech,Hyderabad,Seed,"$1,200,000",2019
Credpay,E-commerce,Mumbai,Seed,"$950,000",2019
VaultAI,E-commerce,Bengaluru,Series A,"$11,150,000",2020
Credmint,Logistics,Hyderabad,Series D,"$186,550,000",2023
Credbase,Foodtech,Mumbai,Pre-Series A,"$5,150,000",2022
Peakpay,AI/ML,Pune,Pre-Series A,"$3,950,000",2022
Primegrid,Fintech,Hyderabad,Pre-Series A,"$2,900,000",2021
Shiply,Fintech,Bengaluru,Seed,"$2,400,000",2023
Uniflow,Healthtech,Bengaluru,Series A,"$18,700,000",2023
PlayAI,Gaming,Bengaluru,Series A,"$14,600,000",2024
Primewave,Healthtech,Gurugram,Series A,"$10,000,000",2023
Fluxworks,Gaming,Chennai,Series C,"$99,700,000",2019
Credbase,SaaS,Hyderabad,Series A,"$10,900,000",2022
Shipbase,Logistics,Delhi NCR,Pre-Series A,"$2,550,000",2024
Bytely,E-commerce,Bengaluru,Seed,"$1,700,000",2024
Playbase,Healthtech,Mumbai,Seed,"$1,250,000",2020
Fluxly,Cleantech,Mumbai,Seed,"$1,300,000",2023
Shiplabs,Fintech,Pune,Series C,"$131,450,000",2021
Kitewave,SaaS,Delhi NCR,Series C,"$92,300,000",2020
Learngrid,Cleantech,Hyderabad,Series B,"$46,600,000",2024
Orbitworks,Healthtech,Bengaluru,Series D,"$133,900,000",2020
CashAI,Fintech,Bengaluru,Series B,"$41,200,000",2021
Zenowave,SaaS,Hyderabad,Seed,"$1,050,000",2022
Carely,E-commerce,Bengaluru,Series A,"$13,650,000",2023
Kiteworks,AI/ML,Delhi NCR,Series A,"$12,050,000",2023
Kitegrid,Fintech,Delhi NCR,Series D,"$202,950,000",2022
ShipAI,Gaming,Mumbai,Pre-Series A,"$2,750,000",2024
Fluxhub,Edtech,Mumbai,Series B,"$44,000,000",2019
CredAI,Logistics,Mumbai,Pre-Series A,"$4,150,000",2020
Kitelabs,Fintech,Hyderabad,Series B,"$48,000,000",2021
Carewave,Gaming,Bengaluru,Series D,"$134,500,000",2023
Carely,Foodtech,Mumbai,Series B,"$49,950,000",2023
Carehub,AI/ML,Noida,Series A,"$19,000,000",2022
OrbitAI,Cleantech,Hyderabad,Series A,"$15,800,000",2024
Primekart,Fintech,Bengaluru,Series B,"$39,000,000",2023
Metaworks,AI/ML,Hyderabad,Pre-Series A,"$4,000,000",2021
Credworks,AI/ML,Pune,Pre-Series A,"$3,700,000",2022
Shopbase,SaaS,Mumbai,Series A,"$8,850,000",2023
Sarvbase,AI/ML,Noida,Seed,"$2,550,000",2023
Peakworks,E-commerce,Delhi NCR,Series A,"$8,700,000",2019
Sarvflow,E-commerce,Pune,Series D,"$210,200,000",2019
Orbitkart,Gaming,Pune,Seed,"$1,600,000",2022
Peakflow,Healthtech,Bengaluru,Pre-Series A,"$2,000,000",2020
Learnkart,Foodtech,Delhi NCR,Series B,"$55,250,000",2022
Bytekart,E-commerce,Chennai,Seed,"$1,350,000",2019
Fluxflow,SaaS,Delhi NCR,Seed,"$800,000",2019
Cashly,E-commerce,Noida,Seed,"$1,000,000",2019
Bytekart,Logistics,Bengaluru,Series A,"$12,400,000",2022
Zenokart,Gaming,Noida,Pre-Series A,"$5,000,000",2023
Metapay,Logistics,Bengaluru,Seed,"$1,250,000",2024
Bytepay,Healthtech,Delhi NCR,Series A,"$15,400,000",2023
Novawave,E-commerce,Mumbai,Pre-Series A,"$5,400,000",2022
Primepay,Edtech,Mumbai,Series C,"$110,950,000",2022
Playkart,AI/ML,Chennai,Series C,"$116,950,000",2022
Loopflow,Edtech,Bengaluru,Seed,"$950,000",2019
Primegrid,Healthtech,Hyderabad,Seed,"$1,300,000",2023
Primegrid,AI/ML,Delhi NCR,Pre-Series A,"$7,400,000",2024
Credbase,SaaS,Hyderabad,Pre-Series A,"$4,500,000",2023
Kiteworks,Cleantech,Delhi NCR,Series B,"$46,150,000",2024
Credworks,Fintech,Chennai,Pre-Series A,"$3,150,000",2022
Bytekart,AI/ML,Hyderabad,Series A,"$19,200,000",2024
Primemint,Healthtech,Hyderabad,Series A,"$10,950,000",2020
ShopAI,Fintech,Noida,Pre-Series A,"$3,650,000",2024
Metamint,Fintech,Delhi NCR,Seed,"$1,300,000",2023
Shopworks,Gaming,Delhi NCR,Seed,"$900,000",2024
Unigrid,Edtech,Bengaluru,Series C,"$65,850,000",2019
LearnAI,Edtech,Gurugram,Seed,"$1,100,000",2022
Playworks,Fintech,Bengaluru,Series C,"$63,800,000",2021
Kitelabs,SaaS,Mumbai,Pre-Series A,"$2,000,000",2019
Orbitly,SaaS,Bengaluru,Series A,"$17,700,000",2024
Orbithub,SaaS,Delhi NCR,Series C,"$101,200,000",2021
Sarvhub,AI/ML,Bengaluru,Pre-Series A,"$6,650,000",2022
Cashlabs,AI/ML,Bengaluru,Seed,"$1,150,000",2023
Sarvly,E-commerce,Mumbai,Seed,"$1,750,000",2024
Primelabs,SaaS,Bengaluru,Series C,"$51,400,000",2021
Orbitmint,E-commerce,Mumbai,Series B,"$27,550,000",2021
Vaultpay,E-commerce,Delhi NCR,Pre-Series A,"$2,350,000",2020
Cashly,SaaS,Bengaluru,Series B,"$32,350,000",2020
Sarvworks,SaaS,Delhi NCR,Series C,"$98,600,000",2021
Orbitpay,Cleantech,Bengaluru,Pre-Series A,"$5,150,000",2024
Unihub,E-commerce,Hyderabad,Series B,"$22,500,000",2021
Shiphub,Fintech,Hyderabad,Pre-Series A,"$4,900,000",2022
Orbitpay,SaaS,Bengaluru,Series B,"$48,100,000",2024
Fluxgrid,SaaS,Noida,Series C,"$52,300,000",2020
Credbase,SaaS,Bengaluru,Series A,"$17,350,000",2021
Fluxhub,Gaming,Bengaluru,Seed,"$1,450,000",2023
