date,category,region,revenue,units,returns
2024-04-01,Beauty,East,6360.94,48,8
2024-04-01,Electronics,North,48659.74,39,1
2024-04-01,Home,South,14500.55,33,2
2024-04-01,Electronics,North,34455.34,42,1
2024-04-02,Apparel,West,2638.95,8,2
2024-04-03,Electronics,North,43357.89,47,2
2024-04-03,Grocery,South,2628.14,23,0
2024-04-04,Beauty,West,3835.89,30,6
2024-04-04,Sports,North,3915.25,13,1
2024-04-04,Books,South,1687.55,37,1
2024-04-05,Home,East,10628.42,34,4
2024-04-05,Sports,North,8330.43,34,5
2024-04-07,Apparel,East,10565.55,37,7
2024-04-07,Apparel,West,8069.78,25,5
2024-04-08,Home,North,8916.68,21,1
2024-04-08,Books,West,4066.13,57,3
2024-04-09,Grocery,East,2704.54,42,1
2024-04-09,Home,South,17236.28,48,3
2024-04-10,Electronics,North,4301.11,4,0
2024-04-11,Grocery,South,1314.98,12,0
2024-04-12,Sports,North,3592.19,13,1
2024-04-12,Sports,East,2613.42,8,0
2024-04-13,Books,North,725.68,12,1
2024-04-14,Grocery,North,2432.81,30,0
2024-04-16,Sports,West,26697.06,57,4
2024-04-16,Home,South,10023.4,18,1
2024-04-16,Apparel,North,3673.28,21,5
2024-04-18,Home,North,19715.81,53,5
2024-04-18,Sports,North,15388.88,56,8
2024-04-19,Beauty,South,10285.58,45,11
2024-04-21,Sports,East,5988.82,21,1
2024-04-21,Grocery,East,214.23,3,0
2024-04-21,Books,North,680.83,12,1
2024-04-21,Sports,West,5972.48,17,1
2024-04-23,Beauty,South,4287.35,24,6
2024-04-24,Grocery,West,3028.45,28,1
2024-04-24,Home,North,7469.52,24,2
2024-04-25,Grocery,North,2717.87,38,1
2024-04-25,Beauty,South,2409.15,16,4
2024-04-25,Electronics,West,35365.37,22,1
2024-04-26,Books,South,1122.95,22,1
2024-04-27,Beauty,South,2943.45,16,3
2024-04-27,Grocery,East,3708,37,1
2024-05-01,Electronics,South,62679.55,49,1
2024-05-01,Electronics,South,29276.05,24,1
2024-05-01,Sports,North,5665.48,15,2
2024-05-01,Sports,West,19399.73,56,7
2024-05-02,Grocery,West,3694.89,49,1
2024-05-03,Electronics,South,58002.24,37,1
2024-05-03,Apparel,North,4819.66,19,3
2024-05-04,Beauty,East,6270.05,50,8
2024-05-06,Electronics,South,56088.5,41,1
2024-05-07,Grocery,East,252.92,4,0
2024-05-07,Books,East,2562.24,55,1
2024-05-10,Home,North,9541.61,22,2
2024-05-10,Grocery,North,770.54,9,0
2024-05-11,Electronics,West,8719.02,6,0
2024-05-12,Beauty,North,5019.02,41,9
2024-05-12,Apparel,West,8860.06,38,7
2024-05-12,Books,North,867.95,21,1
2024-05-12,Grocery,North,2186.6,23,1
2024-05-12,Books,East,2302.87,53,2
2024-05-14,Sports,North,19337.19,54,6
2024-05-14,Sports,East,12604.93,39,5
2024-05-16,Grocery,East,404.55,6,0
2024-05-16,Books,West,1043.15,20,1
2024-05-17,Sports,West,16733.48,53,6
2024-05-18,Grocery,North,3071.07,36,1
2024-05-19,Home,East,10154.72,21,2
2024-05-21,Grocery,East,788.59,12,0
2024-05-22,Apparel,East,7987.5,31,6
2024-05-22,Beauty,South,4476.78,25,3
2024-05-23,Beauty,West,2435.46,17,2
2024-05-24,Sports,North,11121.74,35,4
2024-05-24,Apparel,East,10542.09,35,6
2024-05-24,Apparel,North,6926.23,31,7
2024-05-24,Electronics,East,15309.2,12,1
2024-05-24,Beauty,North,530.83,3,0
2024-05-24,Sports,South,9716.79,22,2
2024-05-25,Beauty,North,2970.54,22,4
2024-05-26,Books,North,109.2,3,0
2024-05-26,Apparel,West,14676.18,54,13
2024-05-26,Sports,North,4199.49,19,2
2024-05-26,Apparel,West,2364.73,8,2
2024-05-27,Electronics,North,11446.99,14,1
2024-05-27,Electronics,North,10161.53,11,0
2024-05-27,Sports,West,15502.44,45,4
2024-05-29,Sports,North,12083.62,50,4
2024-05-30,Grocery,West,3179.73,33,1
2024-05-31,Grocery,West,1824.38,25,0
2024-06-01,Books,West,3538.85,45,2
2024-06-02,Books,South,1440.77,27,2
2024-06-02,Sports,West,1311.21,3,0
2024-06-02,Beauty,East,7807.15,49,9
2024-06-04,Books,West,662.98,12,1
2024-06-04,Books,South,2755.43,34,2
2024-06-04,Electronics,West,72225.42,57,3
2024-06-06,Home,East,16022.41,32,1
2024-06-07,Books,North,2373.82,45,3
2024-06-08,Electronics,West,69938.79,50,3
2024-06-08,Electronics,West,11366.5,11,1
2024-06-09,Home,North,4663.05,13,1
2024-06-09,Books,West,2923.84,48,3
2024-06-09,Apparel,West,4072.53,10,3
2024-06-10,Books,West,2686.11,47,3
2024-06-11,Books,South,1216.94,21,1
2024-06-11,Books,East,491.98,8,0
2024-06-11,Sports,West,13033.88,48,4
2024-06-12,Sports,East,9622.16,38,3
2024-06-13,Home,South,32431.2,54,4
2024-06-13,Books,East,1205.24,28,2
2024-06-13,Apparel,North,13545.59,51,14
2024-06-14,Apparel,West,4077.18,18,4
2024-06-14,Electronics,South,10277.44,7,0
2024-06-16,Home,South,12422.66,30,3
2024-06-16,Home,North,24665.17,54,3
2024-06-17,Beauty,North,3968.84,28,3
2024-06-17,Apparel,North,1740.78,6,2
2024-06-18,Sports,West,11179.67,41,5
2024-06-18,Beauty,South,8117.56,56,11
2024-06-20,Apparel,East,14362.11,58,11
2024-06-21,Beauty,North,3176.05,20,5
2024-06-21,Grocery,South,4561.7,57,1
2024-06-21,Home,South,17350.27,45,5
2024-06-22,Electronics,South,14359.09,10,0
2024-06-22,Books,North,2612.73,60,4
2024-06-22,Sports,South,13293.2,49,6
2024-06-22,Books,North,1497.7,31,1
2024-06-23,Home,South,20038.06,50,5
2024-06-23,Apparel,South,9324.32,25,4
2024-06-23,Books,East,1061.27,24,1
2024-06-24,Grocery,West,6306.91,56,1
2024-06-25,Sports,East,7444.23,25,3
2024-06-26,Apparel,North,760.45,3,1
2024-06-26,Apparel,North,7681.48,41,11
2024-06-26,Electronics,West,45541.58,31,1
2024-06-29,Beauty,North,4285.29,29,6
2024-06-30,Home,West,4308.95,10,1
2024-06-30,Beauty,East,4576.36,24,6
2024-07-01,Sports,North,18860.42,56,4
2024-07-01,Sports,West,14322.21,33,4
2024-07-03,Electronics,South,10366.75,9,0
2024-07-03,Beauty,North,3746.39,24,3
2024-07-03,Grocery,North,718.28,8,0
2024-07-03,Grocery,South,1651.56,19,0
2024-07-05,Grocery,North,248.75,3,0
2024-07-05,Home,South,5676.69,9,1
2024-07-05,Books,West,1992.31,29,2
2024-07-05,Beauty,West,4107.14,25,6
2024-07-05,Beauty,East,3670.19,25,5
2024-07-06,Apparel,North,10500.93,48,12
2024-07-06,Apparel,East,7370.29,24,5
2024-07-07,Apparel,West,14796.02,36,8
2024-07-08,Grocery,North,2121.04,32,1
2024-07-08,Apparel,North,5687.05,28,6
2024-07-08,Beauty,East,5693.76,43,11
2024-07-09,Sports,North,20123.56,53,4
2024-07-10,Grocery,North,3675.63,37,1
2024-07-10,Apparel,North,13796.29,59,8
2024-07-11,Grocery,North,2567.84,38,1
2024-07-11,Books,South,1847.86,32,2
2024-07-11,Grocery,South,2668.49,23,0
2024-07-11,Home,East,15865.04,44,4
2024-07-12,Electronics,South,21239.97,14,0
2024-07-12,Apparel,West,14940.74,41,8
2024-07-12,Books,East,2009.69,44,2
2024-07-15,Sports,North,17851.58,56,5
2024-07-15,Electronics,South,54211.34,33,2
2024-07-16,Home,North,4783.56,12,1
2024-07-18,Grocery,West,253.75,3,0
2024-07-20,Apparel,South,9953.39,36,7
2024-07-20,Sports,South,17865.25,44,6
2024-07-20,Home,North,14397.73,36,2
2024-07-22,Grocery,South,5552.16,60,2
2024-07-23,Beauty,North,3061.91,17,4
2024-07-23,Electronics,South,44832.9,35,1
2024-07-24,Books,North,2534.72,52,2
2024-07-24,Beauty,East,1439.09,8,1
2024-07-24,Home,West,10927.16,24,2
2024-07-25,Grocery,North,2249.17,28,0
2024-07-25,Grocery,South,1986.78,22,0
2024-07-26,Apparel,East,4257.95,13,2
2024-07-26,Books,South,1048.23,16,1
2024-07-26,Books,North,1379.07,36,2
2024-07-27,Grocery,South,1644.69,22,0
2024-07-27,Books,West,1079.17,19,1
2024-07-28,Electronics,West,57610.98,59,3
2024-07-28,Electronics,West,31001.83,22,1
2024-07-29,Electronics,South,16686.27,10,0
2024-07-30,Sports,West,10108.52,32,3
2024-08-01,Home,North,15130.2,31,2
2024-08-02,Sports,East,6274.81,20,1
2024-08-03,Apparel,North,7871.49,25,3
2024-08-06,Electronics,North,3294.43,4,0
2024-08-07,Books,North,48.28,1,0
2024-08-07,Apparel,South,23947.91,57,18
2024-08-07,Sports,West,27201.04,57,3
2024-08-07,Electronics,West,37497.07,27,2
2024-08-08,Beauty,North,6208.96,57,14
2024-08-09,Electronics,West,45830.05,34,1
2024-08-09,Beauty,West,7481.97,30,7
2024-08-11,Books,West,4451.7,60,2
2024-08-11,Sports,West,3234.52,8,1
2024-08-13,Books,East,3284.62,53,3
2024-08-14,Electronics,West,63208.41,46,1
2024-08-15,Books,West,3576.01,48,2
2024-08-15,Sports,North,10369.91,32,3
2024-08-17,Sports,South,17900.08,41,3
2024-08-17,Books,West,3410.46,45,2
2024-08-17,Books,West,288.83,4,0
2024-08-19,Books,South,2127.63,38,2
2024-08-19,Home,South,18684.36,33,3
2024-08-20,Apparel,East,7501.09,29,5
2024-08-21,Books,North,1451.65,23,2
2024-08-21,Beauty,East,908.28,5,1
2024-08-22,Books,South,2707.09,54,3
2024-08-22,Sports,East,5805.28,18,1
2024-08-22,Apparel,North,1688.11,7,2
2024-08-24,Grocery,East,5532.26,56,1
2024-08-26,Electronics,South,34182.22,24,1
2024-08-27,Electronics,East,21767.65,21,1
2024-08-27,Sports,North,9654.84,40,2
2024-08-27,Sports,South,10206.34,37,3
2024-08-28,Electronics,South,82003.99,55,1
2024-08-28,Grocery,East,922.93,16,0
2024-08-29,Grocery,North,3974.18,53,1
2024-08-31,Sports,East,14092.6,51,4
2024-09-01,Books,East,2414.97,39,3
2024-09-02,Electronics,East,53302.11,53,2
2024-09-03,Grocery,East,590.52,8,0
2024-09-04,Grocery,South,1776.49,24,0
2024-09-04,Apparel,South,4086.74,11,3
2024-09-04,Grocery,East,1268.3,20,0
2024-09-04,Sports,East,6571.03,20,2
2024-09-04,Beauty,West,2669.74,12,3
2024-09-05,Books,West,3862.51,44,2
2024-09-05,Beauty,North,10555.07,60,16
2024-09-08,Sports,North,5323.73,19,3
2024-09-08,Beauty,North,4133.81,35,8
2024-09-11,Books,South,861.44,10,0
2024-09-12,Apparel,North,14358.29,47,12
2024-09-12,Electronics,South,34099.41,33,1
2024-09-12,Home,South,14771.65,23,2
2024-09-13,Apparel,South,14391.54,45,9
2024-09-13,Beauty,East,6910.51,57,12
2024-09-14,Sports,East,13074.35,46,6
2024-09-15,Apparel,South,8942.89,25,4
2024-09-16,Grocery,West,2566.71,22,1
2024-09-17,Electronics,East,23633.45,31,1
2024-09-17,Home,North,7650.09,20,2
2024-09-17,Beauty,South,8543.46,47,12
2024-09-18,Beauty,South,10074.24,47,9
2024-09-18,Books,North,2953.84,46,3
2024-09-19,Apparel,South,1421.25,4,1
2024-09-20,Books,North,1981.26,50,3
2024-09-21,Home,South,11416.49,19,2
2024-09-21,Electronics,West,58305.79,59,2
2024-09-21,Grocery,East,369.81,4,0
2024-09-21,Home,East,4481.08,12,1
2024-09-21,Beauty,West,11445.71,45,8
2024-09-22,Grocery,East,2781.88,36,1
2024-09-24,Grocery,West,686.36,9,0
2024-09-25,Sports,North,4914,23,1
2024-09-26,Grocery,West,3400.25,42,1
2024-09-28,Home,North,13655.4,34,3
2024-09-28,Electronics,East,36895.15,39,1
2024-09-29,Books,North,441.56,7,0
2024-09-30,Electronics,East,42761.61,46,1
2024-09-30,Beauty,South,2867.62,13,3
2024-09-30,Books,North,685.73,18,1
2024-10-01,Sports,East,19534.04,60,7
2024-10-02,Home,West,881.16,2,0
2024-10-02,Books,North,314.02,7,0
2024-10-02,Electronics,South,46075.21,31,1
2024-10-03,Grocery,West,8072.62,59,1
2024-10-05,Home,South,29683.41,49,5
2024-10-06,Sports,North,796.99,3,0
2024-10-06,Home,South,28175.25,46,5
2024-10-06,Home,South,38131.35,60,7
2024-10-06,Sports,South,12649.75,26,2
2024-10-09,Grocery,South,852.6,8,0
2024-10-09,Sports,West,9995.44,32,5
2024-10-09,Apparel,North,3385.04,13,3
2024-10-10,Apparel,North,6878.24,36,8
2024-10-10,Grocery,West,2268.52,24,0
2024-10-10,Sports,South,3561.1,10,1
2024-10-11,Home,North,11037.06,22,2
2024-10-12,Books,North,3123.59,53,2
2024-10-13,Sports,East,1578.22,7,1
2024-10-14,Books,North,1425.9,36,1
2024-10-14,Grocery,West,6942.58,55,1
2024-10-15,Home,West,5973.9,14,1
2024-10-16,Grocery,West,540.33,7,0
2024-10-16,Electronics,West,21302.68,20,1
2024-10-17,Beauty,South,13669.59,57,6
2024-10-17,Sports,East,16586.47,43,3
2024-10-18,Electronics,North,34114,26,1
2024-10-20,Apparel,West,4717.97,13,4
2024-10-23,Home,South,14336.84,24,2
2024-10-24,Beauty,North,5264.46,34,3
2024-10-28,Electronics,East,3992.67,3,0
2024-10-28,Electronics,North,7798.38,8,0
2024-10-29,Books,West,875.39,13,0
2024-11-01,Grocery,West,6019.89,50,1
2024-11-01,Grocery,South,3480.97,33,1
2024-11-02,Electronics,East,23830.15,21,1
2024-11-02,Books,East,3035.3,44,3
2024-11-03,Books,North,2853.85,58,3
2024-11-03,Beauty,North,1417.22,8,2
2024-11-04,Beauty,North,7028.87,42,11
2024-11-05,Electronics,North,31163.11,38,2
2024-11-05,Beauty,West,9629.84,55,9
2024-11-06,Beauty,South,13395.93,60,11
2024-11-07,Sports,North,6471.75,23,2
2024-11-08,Home,East,3977.47,9,1
2024-11-09,Apparel,North,5570.87,20,4
2024-11-12,Apparel,South,22073.63,59,7
2024-11-14,Apparel,West,3143.02,11,3
2024-11-16,Home,South,7151.49,17,1
2024-11-17,Electronics,South,28319.62,17,1
2024-11-18,Sports,West,18540.98,39,5
2024-11-19,Sports,North,17384.88,44,6
2024-11-19,Home,South,2116.21,4,0
2024-11-19,Sports,North,12706.83,34,2
2024-11-19,Grocery,South,2041.9,20,1
2024-11-20,Grocery,East,4372.33,51,1
2024-11-23,Apparel,West,12663.69,38,10
2024-11-23,Home,South,8596.41,23,1
2024-11-24,Sports,North,8947.34,28,2
2024-11-25,Books,East,945.96,25,1
2024-11-25,Grocery,South,3341.81,27,0
2024-11-25,Beauty,North,1619.96,9,2
2024-11-26,Apparel,West,7022.59,19,2
2024-11-29,Grocery,North,1801.26,27,1
2024-11-30,Beauty,East,6231.42,33,8
2024-11-30,Books,West,1284.44,23,1
2024-11-30,Electronics,North,6413.92,5,0
2024-12-01,Apparel,North,5581,17,3
2024-12-02,Home,South,20047.69,31,3
2024-12-02,Sports,West,5294.41,11,1
2024-12-03,Beauty,West,6107.78,33,5
2024-12-03,Electronics,North,36058.93,47,2
2024-12-03,Electronics,West,52969.18,43,1
2024-12-04,Apparel,West,1973.84,7,1
2024-12-05,Beauty,East,4889.56,28,3
2024-12-05,Electronics,North,8521.33,10,0
2024-12-06,Home,West,25601.79,46,5
2024-12-13,Apparel,North,4421.82,16,3
2024-12-13,Grocery,North,3459.99,35,1
2024-12-13,Electronics,North,1631.81,2,0
2024-12-14,Home,West,3354.27,7,0
2024-12-15,Apparel,East,1862.76,6,2
2024-12-15,Electronics,South,3664.36,2,0
2024-12-15,Electronics,South,38992.48,25,1
2024-12-15,Home,North,27236.23,60,5
2024-12-16,Grocery,South,1424.2,15,0
2024-12-16,Beauty,North,2951.8,20,3
2024-12-17,Home,South,11982.41,25,2
2024-12-19,Grocery,North,66.6,1,0
2024-12-19,Electronics,South,51550.99,29,1
2024-12-21,Home,South,20974.65,41,4
2024-12-23,Home,West,7065.62,14,2
2024-12-27,Sports,South,5872.98,19,3
2024-12-27,Home,South,8425.34,16,1
2024-12-27,Home,North,20344.26,53,6
2024-12-29,Apparel,East,17637.45,58,10
2024-12-29,Beauty,North,163.79,1,0
2024-12-29,Electronics,West,59838.14,51,1
2024-12-29,Books,South,4559.83,55,4
